timestamp,instance,config_hash,solver,valid_cut_type,add_soc_cuts,collect_multiple_cuts,ansatz_type,ansatz_layers,execution_mode,optimizer_name,optimizer_maxiter,random_seed,repeat,iteration,block_id,n_original,n_padded,padding_overhead,true_min_eigenvalue,vqe_min_eigenvalue_estimate,leaked_amplitude,optimizer_nfev,master_objective,master_solve_time,separation_time,num_cuts_added_this_iter,is_psd
1784693633.4022846,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,1,0,20,32,12,-0.26857020446792906,-0.22435036932787272,0.03136974392456234,200,722.6607702554556,0.024151086807250977,9.884090185165405,28,False
1784693637.5804543,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,1,1,10,16,6,-20.17441837446668,-9.778392985696211,0.4061196910876269,200,722.6607702554556,0.024151086807250977,4.1628782749176025,3,False
1784693648.5889182,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,2,0,20,32,12,-0.28224870095134685,-0.20382877703200397,0.05120628339019624,200,693.0367029498962,0.035774946212768555,10.932312250137329,26,False
1784693653.2365098,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,2,1,10,16,6,-22.996013470654994,-20.287640575705584,0.0756790789527112,200,693.0367029498962,0.035774946212768555,4.636858940124512,2,False
1784693662.6713321,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,3,0,20,32,12,-0.30823587840482564,-0.21145615698564368,0.027480924078448835,200,653.3462627977281,0.04149746894836426,9.360707521438599,20,False
1784693666.6997821,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,3,1,10,16,6,-16.732414574842544,-14.841852413715275,0.07621193908066294,200,653.3462627977281,0.04149746894836426,4.012879371643066,3,False
1784693676.7086456,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,4,0,20,32,12,-0.31339209368035226,-0.28280219812311475,0.022456804535396592,200,620.8012889971153,0.07348179817199707,9.892883062362671,20,False
1784693680.6334403,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,4,1,10,16,6,-23.524246016783387,-20.350249261738867,0.0608232702783903,200,620.8012889971153,0.07348179817199707,3.9151501655578613,4,False
1784693691.4375367,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,5,0,20,32,12,-0.3347645123138669,-0.2295167743987653,0.05427659409056887,200,574.2637269750402,0.0910942554473877,10.680502653121948,24,False
1784693695.9846823,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,5,1,10,16,6,-11.934538703156552,-9.960879485543188,0.06141277563201945,200,574.2637269750402,0.0910942554473877,4.531041383743286,1,False
1784693707.7338238,control2,76590b4826,MOSEK,soc,False,True,sparsity_aware,3,noiseless,COBYLA,200,42,1,6,0,20,32,12,-0.250647159501887,-0.14067553504992178,0.027572669334592164,200,543.290773146806,0.08824443817138672,11.622613191604614,36,False
